train_loss_step,epoch,step,val_loss_step,val_loss_epoch,train_loss_epoch,test_loss,test_acc
22.21956443786621,0,49,,,,,
25.7735595703125,0,99,,,,,
24.85129165649414,0,149,,,,,
,,0,26.698564529418945,,,,
,,1,18.541833877563477,,,,
,,2,22.44922637939453,,,,
,,3,22.48478126525879,,,,
,,4,25.349695205688477,,,,
,0,175,,23.050941467285156,,,
,0,175,,,24.057266235351562,,
24.03380584716797,1,199,,,,,
24.897075653076172,1,249,,,,,
26.851890563964844,1,299,,,,,
19.47393798828125,1,349,,,,,
,,5,26.64466094970703,,,,
,,6,18.501392364501953,,,,
,,7,22.401771545410156,,,,
,,8,22.438222885131836,,,,
,,9,25.297016143798828,,,,
,1,351,,23.00284194946289,,,
,1,351,,,24.007963180541992,,
22.3057804107666,2,399,,,,,
21.899850845336914,2,449,,,,,
25.452590942382812,2,499,,,,,
,,10,26.58999252319336,,,,
,,11,18.460411071777344,,,,
,,12,22.35364532470703,,,,
,,13,22.391021728515625,,,,
,,14,25.243572235107422,,,,
,2,527,,22.954069137573242,,,
,2,527,,,23.958309173583984,,
24.839317321777344,3,549,,,,,
20.79207992553711,3,599,,,,,
24.09258270263672,3,649,,,,,
24.533924102783203,3,699,,,,,
,,15,26.53389549255371,,,,
,,16,18.418407440185547,,,,
,,17,22.304283142089844,,,,
,,18,22.342628479003906,,,,
,,19,25.188722610473633,,,,
,3,703,,22.904041290283203,,,
,3,703,,,23.907644271850586,,
20.52953338623047,4,749,,,,,
27.483062744140625,4,799,,,,,
25.692651748657227,4,849,,,,,
,,20,26.475685119628906,,,,
,,21,18.37489128112793,,,,
,,22,22.253087997436523,,,,
,,23,22.292476654052734,,,,
,,24,25.131805419921875,,,,
,4,879,,22.852163314819336,,,
,4,879,,,23.855396270751953,,
26.86656951904297,5,899,,,,,
23.72287368774414,5,949,,,,,
22.49748992919922,5,999,,,,,
21.530366897583008,5,1049,,,,,
,,25,26.414634704589844,,,,
,,26,18.329328536987305,,,,
,,27,22.19942283630371,,,,
,,28,22.239944458007812,,,,
,,29,25.072101593017578,,,,
,5,1055,,22.79778289794922,,,
,5,1055,,,23.800893783569336,,
25.53658103942871,6,1099,,,,,
22.878925323486328,6,1149,,,,,
22.86288070678711,6,1199,,,,,
,,30,26.3499755859375,,,,
,,31,18.281177520751953,,,,
,,32,22.14263343811035,,,,
,,33,22.184391021728516,,,,
,,34,25.008867263793945,,,,
,6,1231,,22.740238189697266,,,
,6,1231,,,23.743499755859375,,
23.111892700195312,7,1249,,,,,
25.965787887573242,7,1299,,,,,
21.37952423095703,7,1349,,,,,
22.193866729736328,7,1399,,,,,
,,35,26.28091049194336,,,,
,,36,18.2298641204834,,,,
,,37,22.082029342651367,,,,
,,38,22.125150680541992,,,,
,,39,24.941307067871094,,,,
,7,1407,,22.67882537841797,,,
,7,1407,,,23.682470321655273,,
24.233762741088867,8,1449,,,,,
25.51462173461914,8,1499,,,,,
22.663665771484375,8,1549,,,,,
,,40,26.20655059814453,,,,
,,41,18.17477035522461,,,,
,,42,22.016849517822266,,,,
,,43,22.06149673461914,,,,
,,44,24.86855697631836,,,,
,8,1583,,22.612775802612305,,,
,8,1583,,,23.617082595825195,,
25.097492218017578,9,1599,,,,,
21.072795867919922,9,1649,,,,,
21.030475616455078,9,1699,,,,,
20.140777587890625,9,1749,,,,,
,,45,26.12588882446289,,,,
,,46,18.115177154541016,,,,
,,47,21.946224212646484,,,,
,,48,21.992591857910156,,,,
,,49,24.789623260498047,,,,
,9,1759,,22.541202545166016,,,
,9,1759,,,23.546483993530273,,
27.352270126342773,10,1799,,,,,
23.282054901123047,10,1849,,,,,
26.450546264648438,10,1899,,,,,
